Timestamp (UTC),Day created,Time created,Content,Total Likes,Total Comments,Total Shares,Post Type
Tue Sep 27 19:40:38 UTC 2016,Tuesday,19:40:38,"We are grateful to the Call of Duty Endowment for their continued support of our mission to empower transitioning military members, veterans and military spouses to achieve success in the civilian workforce. This mission is our passion, and our team across the country works hard every day to make a difference in the lives of the men and women who have served our country. http://ow.ly/BJLV303QrIx",8,0,0,PHOTO
Mon Sep 26 12:50:40 UTC 2016,Monday,12:50:40,"Veterans, military members and military spouses: Register today with Hire Heroes USA and get equipped with the tools you need for success in the civilian workforce.",9,0,3,LINK
Sun Sep 25 15:02:24 UTC 2016,Sunday,15:02:24,"The Walmart Foundation is an important part of our Hire Heroes USA team and a big supporter of our military and veterans. It is because of generous funders like these that we are able to do what we do best: empower transitioning military, veterans and their spouses to succeed in the civilian workforce. Learn more about Walmart's support of our military at the link below. #‎veterans #‎military",11,0,3,LINK
Sat Sep 24 20:25:20 UTC 2016,Saturday,20:25:20,"We are excited to share that Hire Heroes USA will be at Road Atlanta next week, partnering with the MINI JCW Team and driver/veteran Mark Pombo! Find out more at the link below:",11,3,1,LINK
Fri Sep 23 14:00:00 UTC 2016,Friday,14:00:00,"He was a decorated combat engineer in the U.S. military and a baseball Hall of Famer. In this week's veteran spotlight, a World War II Army veteran who postponed his baseball career to serve his country:. Learn more about his role in the war and in baseball in the interview below and this article:  http://baseballhall.org/hof/spahn-warren",9,0,5,VIDEO
Thu Sep 22 18:05:44 UTC 2016,Thursday,18:05:44,"Did you know that Hire Heroes USA has an ever-growing list of partner organizations that - together - offer a wide variety of training programs for transitioning military members, veterans and military spouses? The information is always available on our website, so check it out, and visit regularly. We are always adding new opportunities.",25,0,6,LINK
Thu Sep 22 14:10:46 UTC 2016,Thursday,14:10:46,"Did you know: When you #StartWithaSmile, Amazon donates 0.5% of the purchase price to Hire Heroes USA. Bookmark this link - 

https://smile.amazon.com/ch/43-1562688 - and support our mission to assist transitioning military members, veterans and military spouses every time you shop.",8,0,2,LINK
Wed Sep 21 13:24:32 UTC 2016,Wednesday,13:24:32,"Transitioning military members, veterans & military spouses: Register now for any one of our upcoming USO workshops! We still have space available for Bethesda (Oct 4-5), as well as Fort Eustis and Norfolk, VA - plus San Antonio in mid October. Toward the end of month, we'll be in Japan, Korea, Guam, and Lakenheath, England! Our upcoming workshops are always on our website. Register for the ones closest to you!",29,1,9,LINK
Mon Sep 19 14:42:37 UTC 2016,Monday,14:42:37,"Buongiorno! I It's a great week for some workshops in Naples, Italy! Today and tomorrow we are conducting a workshop for military spouses. On Thursday and Friday, we're working with transitioning military, and it's all part of the work we do in the USO's #T360 alliance. #WeLoveWhatWeDo",12,0,0,PHOTO
Mon Sep 19 12:45:42 UTC 2016,Monday,12:45:42,Military members:  A successful transition to the civilian workforce is only a click away. Register today for our free career counseling services and get the tools you need to be successful.,14,0,4,LINK
Sat Sep 17 15:00:01 UTC 2016,Saturday,15:00:01,"In keeping with the national observance of POW/MIA day, we’d like to share the incredible story of an American prisoner of war who escaped the clutches of the Japanese during World War II. Hear his amazing tale of survival, in his own words – you won’t soon forget it:",12,0,0,LINK
Fri Sep 16 22:05:37 UTC 2016,Friday,22:05:37,Thanks to everyone who joined us for our two-day transition workshop at Camp Pendleton! Great turnout and awesome Hire Heroes USA team. #WeLoveWhatWeDo!,31,1,4,PHOTO
Fri Sep 16 14:00:01 UTC 2016,Friday,14:00:01,"When this World War I ace wasn’t chasing the Red Baron and the flying circus, he was zooming around race tracks and running a company. Arguably one of the most successful men of his era, Medal of Honor Recipient and Army Captain Eddie Rickenbacker was a man of many hats and is this week's #VeteranSpotlight



Read more about his amazing exploits here: http://www.historynet.com/captain-eddie-rickenbacker-americas-world-war-i-ace-of-aces.htm",8,0,0,VIDEO
Thu Sep 15 17:14:59 UTC 2016,Thursday,17:14:59,"The Bush Institute's Military Service Initiative partnered with organizations this week to host an event in Colorado that highlighted the resources and careers available to transitioning service members, veterans, and their spouses. A member of our Hire Heroes USA team - Spencer Milo - is featured in this article:",72,0,11,LINK
Wed Sep 14 18:37:01 UTC 2016,Wednesday,18:37:01,"Transitioning military members, veterans and military spouses: We've got some great USO workshops coming up this month at:  Fort Stewart, GA; Fort Campbell, KY; Naples, Italy; Joint Base Lewis-McChord, WA; and Fort Bliss, TX. 



Don't miss these free opportunities to better prepare yourself for the civilian workforce. Learn more and Register Now!",11,0,3,LINK
Wed Sep 14 16:45:02 UTC 2016,Wednesday,16:45:02,"Military members, veterans and military spouses in the New York City area: We have partnered with Lloyds Bank for a special workshop on September 21 from 1p-4p. Learn more about this unique opportunity and register now!",17,2,6,LINK
